track_id_stable,Zach,Bryce,Maggie,Jamie,Featured Artist,Duration,Release Date,Popularity,Album,Artist,Song
IllusionDua Lipa,44,,,,,188143,4/11/24 0:00,71,Radical Optimism,Dua Lipa,Illusion
EmmaVianney,,44,,,,209503,11/19/21 0:00,29,N'attendons pas (Deluxe),Vianney,Emma
"Good Luck, Babe!Chappell Roan",6,,44,32,,218423,4/5/24 0:00,89,,Chappell Roan,"Good Luck, Babe!"
Workin' on Lovin'Juice,,,,44,,234026,6/14/18 0:00,40,,Juice,Workin' on Lovin'
The PainterCody Johnson,43,,,,,211413,8/11/23 0:00,70,Leather,Cody Johnson,The Painter
Tired of Being AloneAl Green,,,43,,,172320,8/14/71 0:00,65,Gets Next to You,Al Green,Tired of Being Alone
DrunkMaggie Rogers,,,,43,,204800,4/12/24 0:00,44,Don't Forget Me,Maggie Rogers,Drunk
Rien qu'une foisKeen' V,,42,,,,195897,6/17/16 0:00,35,Là où le vent me mène (Summer Edition),Keen' V,Rien qu'une fois
Fortnight (feat. Post Malone)Taylor Swift,,,42,,Post Malone,228965,4/18/24 0:00,79,THE TORTURED POETS DEPARTMENT,Taylor Swift,Fortnight (feat. Post Malone)
"I Love You, I'm SorryGracie Abrams",,,,42,,157146,6/20/24 0:00,84,The Secret of Us,Gracie Abrams,"I Love You, I'm Sorry"
Where It EndsBailey Zimmerman,41,,,,,179294,8/19/22 0:00,71,Religiously. The Album.,Bailey Zimmerman,Where It Ends
Making Love to the 2024 Vancouver CanucksIvan Hrvatska,,41,,,,133166,5/5/24 0:00,1,,Ivan Hrvatska,Making Love to the 2024 Vancouver Canucks
If You Wanna Be HappyJimmy Soul,,,41,,,143000,1/10/12 0:00,44,"Frank Guida Presents: Jimmy Soul ""If You Wanna Be Happy""",Jimmy Soul,If You Wanna Be Happy
strangerOlivia Rodrigo,,,,41,,192771,3/22/24 0:00,67,GUTS (spilled),Olivia Rodrigo,stranger
Sweet SerendipityLee DeWyze,40,,,,,198280,1/1/03 0:00,34,10th Anniversary - The Hits - Volume 1,Lee DeWyze,Sweet Serendipity
Let's GoKey Glock,,40,,,,140106,6/23/23 0:00,69,Glockoma 2 (Deluxe),Key Glock,Let's Go
Too SweetHozier,12,,40,,,251424,3/22/24 0:00,74,Unreal Unearth: Unaired,Hozier,Too Sweet
Wouldn't Come BackTrousdale,,,,40,,219533,1/15/21 0:00,50,,Trousdale,Wouldn't Come Back
Nosedive (Feat. Lainey Wilson)Post Malone,39,,,,Lainey Wilson,192459,8/15/24 0:00,64,F-1 Trillion,Post Malone,Nosedive (Feat. Lainey Wilson)
We Bring The BOOM!A.J. & Big Justice,,39,,,,120192,7/3/24 0:00,44,,A.J. & Big Justice,We Bring The BOOM!
get him back!Olivia Rodrigo,,,39,24,,211141,9/8/23 0:00,72,GUTS,Olivia Rodrigo,get him back!
Who’s Afraid of Little Old Me?Taylor Swift,,,,39,,334084,4/18/24 0:00,69,THE TORTURED POETS DEPARTMENT,Taylor Swift,Who’s Afraid of Little Old Me?
Paladin StraitTwenty One Pilots,38,,,,,388586,5/24/24 0:00,60,Clancy,Twenty One Pilots,Paladin Strait
Should've Been A CowboyToby Keith,,38,,,,211306,4/20/93 0:00,68,Toby Keith,Toby Keith,Should've Been A Cowboy
Mr. NaturalBee Gees,,,38,,,228466,1/1/74 0:00,23,Mr. Natural,Bee Gees,Mr. Natural
Shower With My Clothes OnAshe,,,,38,,184479,7/29/22 0:00,31,Rae,Ashe,Shower With My Clothes On
SelfishJustin Timberlake,37,,,,,229331,1/25/24 0:00,61,Everything I Thought It Was,Justin Timberlake,Selfish
My SacrificeCreed,,37,,,,294600,1/1/01 0:00,71,Weathered,Creed,My Sacrifice
She's A LadyTom Jones,,,37,,,174146,5/1/71 0:00,62,Tom Jones Sings She's A Lady,Tom Jones,She's A Lady
Dinner with FriendsKacey Musgraves,,,,37,,177733,3/15/24 0:00,45,Deeper Well,Kacey Musgraves,Dinner with Friends
All the Time in the WorldStephen Day,36,,,,,163146,10/11/19 0:00,39,Guess I'm Grown Now,Stephen Day,All the Time in the World
From AustinZach Bryan,,36,,,,207453,2/25/22 0:00,68,American Heartbreak,Zach Bryan,From Austin
Up The Ladder To The RoofThe Supremes,,,36,,,191666,4/26/70 0:00,32,Right On,The Supremes,Up The Ladder To The Roof
Sweet HomeSYML,,,,36,,248533,3/18/22 0:00,47,The Day My Father Died,SYML,Sweet Home
Dancing With Your ShadowsPhillip Phillips,35,,,,,177569,2/10/23 0:00,43,Drift Back,Phillip Phillips,Dancing With Your Shadows
I Had Some Help (Feat. Morgan Wallen)Post Malone,,35,,,Morgan Wallen,178205,5/10/24 0:00,79,F-1 Trillion,Post Malone,I Had Some Help (Feat. Morgan Wallen)
Everyday PeopleSly & The Family Stone,,,35,,,141506,5/3/69 0:00,59,Stand,Sly & The Family Stone,Everyday People
Guilty as Sin?Taylor Swift,,,,35,,254365,4/18/24 0:00,71,THE TORTURED POETS DEPARTMENT,Taylor Swift,Guilty as Sin?
Spin You Around (1/24)Morgan Wallen,34,,,,,209427,1/26/24 0:00,71,,Morgan Wallen,Spin You Around (1/24)
A Bar Song (Tipsy)Shaboozey,32,34,,,,171291,4/12/24 0:00,81,"Where I've Been, Isn't Where I'm Going",Shaboozey,A Bar Song (Tipsy)
More Than A WomanBee Gees,,,34,,,197213,11/15/77 0:00,72,,Bee Gees,More Than A Woman
23Lawrence,,,,34,,189266,10/20/23 0:00,33,Family Business,Lawrence,23
What Don't Belong To MePost Malone,33,,,,,207176,8/15/24 0:00,64,F-1 Trillion,Post Malone,What Don't Belong To Me
A.M. RADIOThe Lumineers,,33,,,,237320,1/14/22 0:00,52,BRIGHTSIDE,The Lumineers,A.M. RADIO
SwayKacey Musgraves,,,,33,,191413,3/15/24 0:00,47,Deeper Well,Kacey Musgraves,Sway
Dawns (feat. Maggie Rogers)Zach Bryan,,32,,,Maggie Rogers,290892,1/27/23 0:00,71,,Zach Bryan,Dawns (feat. Maggie Rogers)
GorgeousTaylor Swift,,,32,,,209680,11/10/17 0:00,70,reputation,Taylor Swift,Gorgeous
Miles On ItMarshmello,31,,,,Kane Brown,168355,5/3/24 0:00,76,The High Road,Marshmello,Miles On It
HigherCreed,,31,,,,316733,1/1/99 0:00,74,Human Clay,Creed,Higher
4EVERClairo,,,31,,,159595,4/27/18 0:00,70,,Clairo,4EVER
Can't Get Your Love BackTrousdale,,,,31,,210130,7/21/23 0:00,25,Out Of My Mind,Trousdale,Can't Get Your Love Back
Beautiful ThingsBenson Boone,30,,,,,180304,1/18/24 0:00,85,Fireworks & Rollerblades,Benson Boone,Beautiful Things
Up The JunctionSqueeze,,30,,,,191320,1/1/79 0:00,50,Cool For Cats,Squeeze,Up The Junction
It's Too LateCarole King,,,30,,,233173,1/1/71 0:00,66,Tapestry,Carole King,It's Too Late
When I'm OlderAshe,,,,30,,170241,4/21/21 0:00,31,Ashlyn,Ashe,When I'm Older
Oldies StationTwenty One Pilots,29,,,,,228000,5/24/24 0:00,60,Clancy,Twenty One Pilots,Oldies Station
Ambition For CashKey Glock,,29,,,,143480,9/30/21 0:00,67,Yellow Tape 2,Key Glock,Ambition For Cash
BrazilDeclan McKenna,,,29,,,252306,12/4/15 0:00,76,What Do You Think About the Car?,Declan McKenna,Brazil
You’re Gonna Go FarNoah Kahan,,,,29,,286369,6/9/23 0:00,77,Stick Season (We'll All Be Here Forever),Noah Kahan,You’re Gonna Go Far
Dancin' In The Moonlight (feat. Lauren Alaina)Chris Lane,28,,,,Lauren Alaina,199000,5/20/22 0:00,48,,Chris Lane,Dancin' In The Moonlight (feat. Lauren Alaina)
Never Been OverDarius Rucker,,28,,,Jennifer Nettles,205466,4/26/24 0:00,34,,Darius Rucker,Never Been Over
Cruel SummerTaylor Swift,,,28,,,178426,8/23/19 0:00,84,Lover,Taylor Swift,Cruel Summer
FeatherSabrina Carpenter,,,,28,,185552,3/17/23 0:00,80,emails i can’t send fwd:,Sabrina Carpenter,Feather
Hell of a YearParker McCollum,27,,,,,232653,11/10/17 0:00,64,Probably Wrong,Parker McCollum,Hell of a Year
HOT TO GO!Chappell Roan,,27,,,,184841,8/11/23 0:00,79,The Rise and Fall of a Midwest Princess,Chappell Roan,HOT TO GO!
These WallsDua Lipa,,,27,,,217783,5/3/24 0:00,68,Radical Optimism,Dua Lipa,These Walls
HeavenNiall Horan,,,,27,,186043,3/10/23 0:00,67,The Show,Niall Horan,Heaven
Remember Him That WayLuke Combs,26,,,,,236055,6/14/24 0:00,61,Fathers & Sons,Luke Combs,Remember Him That Way
StargazingMyles Smith,,26,,,,172533,5/10/24 0:00,82,,Myles Smith,Stargazing
OmenDisclosure,,,26,,Sam Smith,230250,9/25/15 0:00,54,Caracal (Deluxe),Disclosure,Omen
Overcompensate (edit)Twenty One Pilots,25,,,,,190733,2/29/24 0:00,46,,Twenty One Pilots,Overcompensate (edit)
AnyoneJustin Bieber,,25,,,,190779,1/1/21 0:00,66,Justice,Justin Bieber,Anyone
MelissaAllman Brothers Band,,,25,,,235223,2/12/72 0:00,57,Eat A Peach,Allman Brothers Band,Melissa
Lavender GirlCaamp,,,,25,,203546,5/20/22 0:00,61,Lavender Days,Caamp,Lavender Girl
Slow It DownBenson Boone,24,,,,,161831,3/21/24 0:00,82,Fireworks & Rollerblades,Benson Boone,Slow It Down
The Lion Sleeps Tonight (Wimoweh)The Tokens,,24,,,,162093,7/29/94 0:00,56,The Lion Sleeps Tonight,The Tokens,The Lion Sleeps Tonight (Wimoweh)
I Know Places (Taylor's Version)Taylor Swift,,,24,,,195700,10/26/23 0:00,59,1989 (Taylor's Version),Taylor Swift,I Know Places (Taylor's Version)
Lies Lies LiesMorgan Wallen,23,,,,,198068,7/5/24 0:00,76,,Morgan Wallen,Lies Lies Lies
FavouriteFontaines D.C.,,23,,,,256066,6/18/24 0:00,65,Romance,Fontaines D.C.,Favourite
She Moves In Her Own WayThe Kooks,,,23,,,169306,1/1/06 0:00,52,Inside In / Inside Out,The Kooks,She Moves In Her Own Way
Turn the Lights Back OnBilly Joel,,,,23,,238939,2/1/24 0:00,52,,Billy Joel,Turn the Lights Back On
Tattoo on a SunburnLuke Combs,22,,,,,225693,3/24/23 0:00,49,Gettin' Old,Luke Combs,Tattoo on a Sunburn
Let's Go - Alok RemixKey Glock,,22,,,Alok,158145,3/29/24 0:00,29,,Key Glock,Let's Go - Alok Remix
Walking on Broken GlassAnnie Lennox,,,22,,,253295,4/2/92 0:00,59,,Annie Lennox,Walking on Broken Glass
At The Risk Of Feeling DumbTwenty One Pilots,21,,,,,203853,5/24/24 0:00,60,Clancy,Twenty One Pilots,At The Risk Of Feeling Dumb
Pink SkiesZach Bryan,,21,,,,194920,5/24/24 0:00,80,,Zach Bryan,Pink Skies
Please Please PleaseSabrina Carpenter,10,,21,,,186365,6/6/24 0:00,82,Short n' Sweet,Sabrina Carpenter,Please Please Please
Love Me Like YouLittle Mix,,,,21,,197786,11/6/15 0:00,70,Get Weird (Expanded Edition),Little Mix,Love Me Like You
Losers (Feat. Jelly Roll)Post Malone,20,,,,Jelly Roll,209038,8/15/24 0:00,70,F-1 Trillion,Post Malone,Losers (Feat. Jelly Roll)
The AnthemGood Charlotte,,20,,,,175093,10/4/02 0:00,70,The Young and The Hopeless,Good Charlotte,The Anthem
Me & Mr JonesAmy Winehouse,,,20,,,153173,1/1/06 0:00,62,Back To Black (Deluxe Edition),Amy Winehouse,Me & Mr Jones
Out Of My MindTrousdale,,,,20,,281640,9/15/23 0:00,30,Out Of My Mind,Trousdale,Out Of My Mind
Man Made A Bar (feat. Eric Church)Morgan Wallen,19,,,,Eric Church,191231,3/3/23 0:00,70,One Thing At A Time,Morgan Wallen,Man Made A Bar (feat. Eric Church)
body bag (feat. YUNGBLUD & Bert McCracken of The Used)mgk,,19,,,YUNGBLUD,170074,9/29/20 0:00,55,Tickets To My Downfall (SOLD OUT Deluxe),mgk,body bag (feat. YUNGBLUD & Bert McCracken of The Used)
Gonna Find OutKate Hudson,,,19,,,210548,4/17/24 0:00,35,Glorious,Kate Hudson,Gonna Find Out
My Boy Only Breaks His Favorite ToysTaylor Swift,,,8,19,,203801,4/18/24 0:00,69,THE TORTURED POETS DEPARTMENT,Taylor Swift,My Boy Only Breaks His Favorite Toys
TreadmillKnox,18,,,,,193262,6/28/24 0:00,43,,Knox,Treadmill
Thank God & Jimmy BuffettPitbull,,18,,,,152121,2/16/24 0:00,36,Trackhouse (Daytona 500 Edition),Pitbull,Thank God & Jimmy Buffett
Sweet Talkin' WomanElectric Light Orchestra,,,18,,,229866,1/1/72 0:00,57,Out of the Blue,Electric Light Orchestra,Sweet Talkin' Woman
Set Fire to the RainAdele,,,,18,,242973,1/24/11 0:00,74,21,Adele,Set Fire to the Rain
Snap BackTwenty One Pilots,17,,,,,210266,5/24/24 0:00,59,Clancy,Twenty One Pilots,Snap Back
Larger Than LifeBackstreet Boys,,17,,,,232826,5/18/99 0:00,65,Millennium,Backstreet Boys,Larger Than Life
You’re Losing Me (From The Vault)Taylor Swift,,,17,,,277831,11/29/23 0:00,71,,Taylor Swift,You’re Losing Me (From The Vault)
Lie To GirlsSabrina Carpenter,,,,17,,202001,8/23/24 0:00,68,Short n' Sweet,Sabrina Carpenter,Lie To Girls
Things I Take For GrantedLarry Fleet,16,,,,,206929,9/1/23 0:00,56,Earned It,Larry Fleet,Things I Take For Granted
Bump HeadsEminem,,16,,,Tony Yayo,281457,5/26/22 0:00,58,The Eminem Show (Expanded Edition),Eminem,Bump Heads
Kill BillSZA,,,16,,,153946,12/8/22 0:00,82,SOS,SZA,Kill Bill
Pieces Of MeAshlee Simpson,,,,16,,216560,1/1/04 0:00,52,Autobiography,Ashlee Simpson,Pieces Of Me
Pour Me A Drink (Feat. Blake Shelton)Post Malone,15,,15,,Blake Shelton,195122,6/21/24 0:00,69,F-1 Trillion,Post Malone,Pour Me A Drink (Feat. Blake Shelton)
"F*CK YOU, GOODBYE (feat. Machine Gun Kelly)The Kid LAROI",,15,,,mgk,144860,7/27/21 0:00,62,F*CK LOVE 3+: OVER YOU,The Kid LAROI,"F*CK YOU, GOODBYE (feat. Machine Gun Kelly)"
Modern Love - 2018 RemasterDavid Bowie,,,,15,,288339,4/14/83 0:00,64,Let's Dance (2018 Remaster),David Bowie,Modern Love - 2018 Remaster
Austin (Boots Stop Workin')Dasha,14,,,,,171782,11/16/23 0:00,79,What Happens Now?,Dasha,Austin (Boots Stop Workin')
Heavy EyesZach Bryan,,14,,,,190780,5/20/22 0:00,66,American Heartbreak,Zach Bryan,Heavy Eyes
This Old Heart Of Mine (Is Weak For You)The Isley Brothers,,,14,,,172733,1/1/66 0:00,59,This Old Heart Of Mine,The Isley Brothers,This Old Heart Of Mine (Is Weak For You)
UnwrittenNatasha Bedingfield,,,,14,,259333,8/30/04 0:00,81,Unwritten,Natasha Bedingfield,Unwritten
The Craving - single versionTwenty One Pilots,13,,,,,173866,5/22/24 0:00,57,,Twenty One Pilots,The Craving - single version
Texas Longhorn (Sec Version)Django Walker,,13,,,,214333,8/23/24 0:00,19,,Django Walker,Texas Longhorn (Sec Version)
Murder On The DancefloorSophie Ellis-Bextor,,,13,,,230013,1/1/01 0:00,76,Read My Lips (Deluxe Version),Sophie Ellis-Bextor,Murder On The Dancefloor
JunoSabrina Carpenter,,,,13,,223192,8/23/24 0:00,81,Short n' Sweet,Sabrina Carpenter,Juno
Loving You EasyZac Brown Band,,12,,,,155653,4/28/15 0:00,52,JEKYLL + HYDE,Zac Brown Band,Loving You Easy
Nobody Gets MeSZA,,,12,,,180853,12/8/22 0:00,82,SOS,SZA,Nobody Gets Me
Hide My Gun (Feat. HARDY)Post Malone,11,,,,HARDY,220479,8/15/24 0:00,60,F-1 Trillion,Post Malone,Hide My Gun (Feat. HARDY)
Lonely Road (with Jelly Roll)mgk,,11,,,Jelly Roll,189356,7/26/24 0:00,71,Beautifully Broken (Pickin’ Up The Pieces),mgk,Lonely Road (with Jelly Roll)
Easy to LoveCouch,,,,11,,186841,11/27/19 0:00,48,,Couch,Easy to Love
Who Knew (Her Perspective)Darren Waller,,10,,,,188152,5/24/24 0:00,14,,Darren Waller,Who Knew (Her Perspective)
AppleCharli xcx,,,10,,,151739,6/7/24 0:00,78,BRAT,Charli xcx,Apple
"So Long, LondonTaylor Swift",,,,10,,262974,4/18/24 0:00,68,THE TORTURED POETS DEPARTMENT,Taylor Swift,"So Long, London"
Routines In The NightTwenty One Pilots,9,,,,,202600,5/24/24 0:00,68,Clancy,Twenty One Pilots,Routines In The Night
LingerThe Cranberries,,9,,,,274706,3/1/93 0:00,79,"Everybody Else Is Doing It, So Why Can't We?",The Cranberries,Linger
I Don't Wanna LieYola,,,9,,,181535,12/6/19 0:00,34,Walk Through Fire (Deluxe Edition),Yola,I Don't Wanna Lie
love is embarrassingOlivia Rodrigo,,,,9,,154516,9/8/23 0:00,70,GUTS,Olivia Rodrigo,love is embarrassing
Die With A SmileLady Gaga,8,,,,Bruno Mars,251667,8/16/24 0:00,96,MAYHEM,Lady Gaga,Die With A Smile
TexasBigXthaPlug,,8,,,,146133,11/25/22 0:00,70,AMAR,BigXthaPlug,Texas
Fast Cars And FreedomRascal Flatts,,,,8,,262186,1/1/04 0:00,56,Feels Like Today,Rascal Flatts,Fast Cars And Freedom
Guy For That (Feat. Luke Combs)Post Malone,7,,,,Luke Combs,164011,7/26/24 0:00,73,F-1 Trillion,Post Malone,Guy For That (Feat. Luke Combs)
There’s Your Trouble - Spotify Singles (Live from Spotify House)mgk,,7,,,,191949,7/24/24 0:00,45,,mgk,There’s Your Trouble - Spotify Singles (Live from Spotify House)
Nights On BroadwayBee Gees,,,7,,,271373,6/1/75 0:00,51,Main Course,Bee Gees,Nights On Broadway
AlrightCouch,,,,7,,250105,10/6/23 0:00,35,,Couch,Alright
Game NightDJ Heer,,6,,,A.S.M,231682,4/18/24 0:00,2,,DJ Heer,Game Night
8TEENKhalid,,,6,,,228600,4/27/17 0:00,68,American Teen,Khalid,8TEEN
