track_id_stable,Zach,Bryce,Maggie,Jamie,Featured Artist,Duration,Release Date,Popularity,Album,Artist,Song,Popularity_ID
Don't Dream It's OverCrowded House,,92,,,,236933.0,1986-01-01 00:00:00,80.0,Crowded House,Crowded House,Don't Dream It's Over,7G7tgVYORlDuVprcYHuFJh
Bad Time - Remastered 2002Grand Funk Railroad,,,92,,,175360.0,1974-12-01 00:00:00,46.0,All The Girls In The World Beware!!! (Remastered),Grand Funk Railroad,Bad Time - Remastered 2002,2DL5cXb2F3nvggbyTiNhzc
T-Shirt WeatherCirca Waves,,,,92,,192120.0,2015-02-23 00:00:00,61.0,Young Chasers (Deluxe),Circa Waves,T-Shirt Weather,7MfNoHB8JRNbSQ8P3eAfMQ
Me To MeMorgan Wallen,91,,,,,138958.0,2023-03-03 00:00:00,62.0,One Thing At A Time,Morgan Wallen,Me To Me,3CqT9ajcy6pY7TonEPiV4H
My Own Worst EnemyLit,,91,,,,169026.0,1999-02-22 00:00:00,73.0,A Place In The Sun,Lit,My Own Worst Enemy,33iv3wnGMrrDugd7GBso1z
After MidnightChappell Roan,,,91,,,204857.0,2023-09-21 00:00:00,73.0,The Rise and Fall of a Midwest Princess,Chappell Roan,After Midnight,4rlQza35DE4Prh5yonxnCs
Smart IowaTrousdale,,,,91,,198671.0,2023-07-21 00:00:00,29.0,Out Of My Mind,Trousdale,Smart Iowa,5sR5RxaErPw0YtsB0MyQyn
Ain’t How It EndsPost Malone,90,,,,,201961.0,2024-08-16 00:00:00,60.0,F-1 Trillion: Long Bed,Post Malone,Ain’t How It Ends,4ApqBh1Xnrpwx6EbhoUPgq
OvertimeZach Bryan,,90,,,,190946.0,2023-08-25 00:00:00,63.0,Zach Bryan,Zach Bryan,Overtime,5pIVEk6Di7n1v5khOzJaJL
Valerie (feat. Amy Winehouse) - Version RevisitedMark Ronson,,,90,,Amy Winehouse,219413.0,2007-04-16 00:00:00,80.0,Version,Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,6kopmMZiyLmw7h66uXcXR7
Real Love BabyFather John Misty,,,,90,,189293.0,2016-07-26 00:00:00,77.0,,Father John Misty,Real Love Baby,0Z57YWES04xGh3AImDz6Qr
