track_id_stable,Zach,Bryce,Maggie,Jamie,Featured Artist,Duration,Release Date,Popularity,Album,Artist,Song,Popularity_ID
BODYGUARDBeyoncé,,,64,,,240254.0,2024-03-27 00:00:00,70.0,COWBOY CARTER,Beyoncé,BODYGUARD,6Y4rniIxibegzsg8cdWAWV
One And OnlyAdele,,,,64,,348226.0,2011-01-24 00:00:00,65.0,21,Adele,One And Only,43dcCpx19I0R4zLr4KH1UC
OvercompensateTwenty One Pilots,63,,,,,236000.0,2024-02-29 00:00:00,69.0,Clancy,Twenty One Pilots,Overcompensate,1LAlLBTGBUO0MDA8IbSysd
AlaskaMaggie Rogers,,,63,,,188000.0,2017-02-16 00:00:00,69.0,Heard It In A Past Life,Maggie Rogers,Alaska,4HfLQJtVT1KiX1eVedDyTm
Felt Good About YouGracie Abrams,,,,63,,164693.0,2024-06-20 00:00:00,64.0,The Secret of Us,Gracie Abrams,Felt Good About You,5bjB0xPlN7fR1roEedzQvg
Same Work (feat. The War And Treaty)BRELAND,62,,,,The War And Treaty,170645.0,2024-10-18 00:00:00,29.0,,BRELAND,Same Work (feat. The War And Treaty),3BH2a8rOc8nnB6tm0KJUhu
Wonderwall - RemasteredOasis,,62,,,,258773.0,1995-01-01 00:00:00,78.0,(What's The Story) Morning Glory? (Deluxe Remastered Edition),Oasis,Wonderwall - Remastered,7ygpwy2qP3NbrxVkHvUhXY
Gimme ShelterThe Rolling Stones,,,62,,,270773.0,1969-12-05 00:00:00,75.0,Let It Bleed,The Rolling Stones,Gimme Shelter,6H3kDe7CGoWYBabAeVWGiD
Red Wine SupernovaChappell Roan,,,3,62,,192720.0,2023-05-17 00:00:00,84.0,The Rise and Fall of a Midwest Princess,Chappell Roan,Red Wine Supernova,7FOgcfdz9Nx5V9lCNXdBYv
Had It AllGabby Barrett,61,,,,,227440.0,2024-02-02 00:00:00,26.0,Chapter & Verse,Gabby Barrett,Had It All,4GyZ7Cc8K7Es48vMyiOso2
Miss That GirlERNEST,,61,,,,137850.0,2022-12-16 00:00:00,46.0,FLOWER SHOPS (THE ALBUM): Two Dozen Roses,ERNEST,Miss That Girl,2r6rQc8mbPzWERVtdBR7lV
I Love The Nightlife (Disco 'Round)Alicia Bridges,,,61,,,187973.0,1978-01-01 00:00:00,50.0,I Love The Nightlife,Alicia Bridges,I Love The Nightlife (Disco 'Round),6c0G8K6G2LlIfJTsRLJjfs
Memory LaneOld Dominion,60,,,,,172480.0,2023-01-05 00:00:00,70.0,Memory Lane,Old Dominion,Memory Lane,1nrgBXtczBXNSlqIezjwbR
Safe and SoundCapital Cities,,60,,,,192789.0,2013-06-04 00:00:00,83.0,In A Tidal Wave of Mystery,Capital Cities,Safe and Sound,5JVbvCHX10U2pLa5DEqGav
HoudiniDua Lipa,,,60,,,185917.0,2023-11-09 00:00:00,83.0,Radical Optimism,Dua Lipa,Houdini,6D8y7Bck8h11byRY88Pt2z
My WayFrank Sinatra,,,,60,,276800.0,1969-03-01 00:00:00,73.0,My Way (Expanded Edition),Frank Sinatra,My Way,3spdoTYpuCpmq19tuD0bOe
DoubtTwenty One Pilots,59,,,,,191493.0,2015-05-15 00:00:00,72.0,Blurryface,Twenty One Pilots,Doubt,57yL3161hUMuw06zzzUCHi
Open the GateZach Bryan,,59,,,,234771.0,2022-05-06 00:00:00,74.0,American Heartbreak,Zach Bryan,Open the Gate,6pamafD9p0K7FHfJPz6TYF
SedonaHoundmouth,,,59,,,239881.0,2015-03-17 00:00:00,65.0,Little Neon Limelight,Houndmouth,Sedona,2MQhTbX792AT6YyzwLz9dt
Let It HappenGracie Abrams,,,,59,,260946.0,2024-06-20 00:00:00,69.0,The Secret of Us,Gracie Abrams,Let It Happen,7mFhyM0k5ZKG8jxcwmPVYl
The Age of Worry - Live at Electric LadyYebba,58,,,,,227880.0,2022-01-25 00:00:00,39.0,,Yebba,The Age of Worry - Live at Electric Lady,66OrNUst0atPTFTVeJsBOI
Friday NightEric Paslay,,58,,,,167213.0,2014-01-01 00:00:00,56.0,Eric Paslay,Eric Paslay,Friday Night,66rVt7PbwyKlu6CK6rxyAi
greedyTate McRae,,,58,,,131872.0,2023-09-15 00:00:00,86.0,THINK LATER,Tate McRae,greedy,3rUGC1vUpkDG9CZFHMur1t
U SmileJustin Bieber,,,,58,,196906.0,2010-01-01 00:00:00,61.0,My World 2.0,Justin Bieber,U Smile,6Xw2FLih8m5ItDbyP992HH
Ain't No Love In Oklahoma (From Twisters: The Album)Luke Combs,57,,,,,210950.0,2024-05-16 00:00:00,83.0,,Luke Combs,Ain't No Love In Oklahoma (From Twisters: The Album),6GG4yyk3UATdBfTHVgI8PB
Gang Shit No Lame ShitKey Glock,,57,,,,131600.0,2018-11-23 00:00:00,70.0,Glockoma,Key Glock,Gang Shit No Lame Shit,6gbiTbclnHlmSIPfmF2zEc
us. (feat. Taylor Swift)Gracie Abrams,,,57,26,Taylor Swift,242666.0,2024-06-20 00:00:00,78.0,The Secret of Us,Gracie Abrams,us. (feat. Taylor Swift),0hhzNPE68LWLfgZwdpxVdR
Junior VarsityDayglow,,,,57,,252400.0,2019-11-14 00:00:00,42.0,Fuzzybrain,Dayglow,Junior Varsity,08TjqEEAO32VuF002ePbTz
Love MyselfHailee Steinfeld,56,,,,,218773.0,2016-02-26 00:00:00,68.0,,Hailee Steinfeld,Love Myself,36phXHOKx8rO7CMp2vNX4x
my ex's best friend (with blackbear)mgk,,56,,,blackbear,139460.0,2020-09-25 00:00:00,71.0,Tickets To My Downfall,mgk,my ex's best friend (with blackbear),7kDUspsoYfLkWnZR7qwHZl
Rhinestone CowboyGlen Campbell,,,56,,,194453.0,1975-01-01 00:00:00,65.0,Rhinestone Cowboy (Expanded Edition),Glen Campbell,Rhinestone Cowboy,0VwTeYNjcl30DyQlt3GPe0
Guy I Used To BeLawrence,,,,56,,227200.0,2024-04-05 00:00:00,46.0,Family Business,Lawrence,Guy I Used To Be,26o178cDBPoinFN2L9e4UN
Midwest IndigoTwenty One Pilots,55,,,,,196266.0,2024-05-24 00:00:00,67.0,Clancy,Twenty One Pilots,Midwest Indigo,7GVQS66ukm48XZVymA3ZUg
Flagpole SittaThe All-American Rejects,,55,,,,223003.0,2024-09-13 00:00:00,43.0,,The All-American Rejects,Flagpole Sitta,4d1WMnL8dMh37ZZnMGvG59
vampireOlivia Rodrigo,,,,55,,219724.0,2023-09-08 00:00:00,83.0,GUTS,Olivia Rodrigo,vampire,1kuGVB7EU95pJObxwvfwKS
Last NightMorgan Wallen,54,,,,,163854.0,2023-01-31 00:00:00,79.0,One Thing At A Time,Morgan Wallen,Last Night,7K3BhSpAxZBznislvUMVtn
Dirty WorkSteely Dan,,54,,,,190065.0,1972-11-01 00:00:00,69.0,Can't Buy A Thrill,Steely Dan,Dirty Work,3IvTwPCCjfZczCN2k4qPiH
Love Grows (Where My Rosemary Goes)Edison Lighthouse,,,54,,,174760.0,1960-03-09 00:00:00,73.0,Love Grows (Where My Rosemary Goes) & Other Gems,Edison Lighthouse,Love Grows (Where My Rosemary Goes),5Ts1DYOuouQLgzTaisxWYh
So High SchoolTaylor Swift,,,,54,,228800.0,2024-04-19 00:00:00,75.0,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,So High School,7Mts0OfPorF4iwOomvfqn1
Fast CarLuke Combs,53,,,,,265493.0,2023-03-24 00:00:00,82.0,Gettin' Old,Luke Combs,Fast Car,1Lo0QY9cvc8sUB2vnIOxDT
The Good I'll DoZach Bryan,,53,,,,211315.0,2022-05-20 00:00:00,75.0,American Heartbreak,Zach Bryan,The Good I'll Do,53zCCom4uEoIBaOAEJtjUL
TitleMeghan Trainor,,,53,,,174733.0,2015-01-09 00:00:00,62.0,Title (Deluxe),Meghan Trainor,Title,0k5hoseEJnCAbpRh38dNoI
Bed ChemSabrina Carpenter,,,,53,,171869.0,2024-08-23 00:00:00,87.0,Short n' Sweet,Sabrina Carpenter,Bed Chem,1UHS8Rf6h5Ar3CDWRd3wjF
HeroCharlie Puth,52,,,,,196752.0,2024-05-23 00:00:00,59.0,,Charlie Puth,Hero,5TTyyKNJZHONhjtAiXL1nG
Time of Day (with mgk)Jelly Roll,,52,,,mgk,191146.0,2024-10-10 00:00:00,56.0,Beautifully Broken,Jelly Roll,Time of Day (with mgk),7F3suGXGa7XtKdqsG8N6RC
So Hot You're Hurting My FeelingsCaroline Polachek,,,52,,,183861.0,2019-09-16 00:00:00,64.0,Pang,Caroline Polachek,So Hot You're Hurting My Feelings,5B6Kjha6RRIMWGN7zGsAaT
The FormerSteinza,,,,52,,157500.0,2023-01-11 00:00:00,54.0,,Steinza,The Former,6CNKcu9SBPWKMkBvMkPRBT
MESSED UP AS MEKeith Urban,51,,,,,196400.0,2024-03-01 00:00:00,57.0,HIGH,Keith Urban,MESSED UP AS ME,5ySgEEGoCBMtomsrN0fOm7
American GirlDierks Bentley,,51,,,,183820.0,2024-02-23 00:00:00,43.0,,Dierks Bentley,American Girl,3PRTKWFigJCi47YAEsBpiP
Half of My HeartJohn Mayer,,,51,,,250373.0,2009-11-13 00:00:00,63.0,Battle Studies,John Mayer,Half of My Heart,7hR5toSPEgwFZ78jfHdANM
"What Was I Made For? [From The Motion Picture ""Barbie""]Billie Eilish",,,,51,,222369.0,2023-07-13 00:00:00,85.0,,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",6wf7Yu7cxBSPrRlWeSeK0Q
Love SomebodyMorgan Wallen,50,43,,,,204828.0,2024-10-18 00:00:00,85.0,,Morgan Wallen,Love Somebody,7hR22TOX3RorxJPcsz5Wbo
Never Let You GoRAC,,50,,,Matthew Koma,224332.0,2020-02-12 00:00:00,35.0,,RAC,Never Let You Go,4ioTh5Nrk0Vp8X3u1tHhob
Nothing From NothingBilly Preston,,,50,,,156200.0,1974-01-01 00:00:00,58.0,The Kids & Me,Billy Preston,Nothing From Nothing,72PoJMDfdaw9gGECgA9kTZ
Midnight HourJamestown Revival,,,,50,,210666.0,2016-10-07 00:00:00,47.0,The Education Of A Wandering Man,Jamestown Revival,Midnight Hour,1Nl0nKMX15Q3c1CS5E3DSM
Grow ApartGabby Barrett,49,,,,,209040.0,2024-02-02 00:00:00,25.0,Chapter & Verse,Gabby Barrett,Grow Apart,7ob2RAHoWaQsIZ6XaoaEnG
BIRDS OF A FEATHERBillie Eilish,,,49,,,210373.0,2024-05-17 00:00:00,97.0,HIT ME HARD AND SOFT,Billie Eilish,BIRDS OF A FEATHER,6dOtVTDdiauQNBQEDOtlAB
omwAshe,,,,49,,171161.0,2022-10-12 00:00:00,35.0,Rae,Ashe,omw,4fCURHaPS3CQBcYsnTidvW
Your BonesChelsea Cutler,48,,,,,159400.0,2023-08-30 00:00:00,55.0,Stellaria,Chelsea Cutler,Your Bones,7zBg6qxuNUz0mBdr85l6ng
bloody valentinemgk,,48,,,,205158.0,2020-06-05 00:00:00,67.0,Tickets To My Downfall,mgk,bloody valentine,6mADjHs6FXdroPzEGW6KVJ
RememberBecky Hill,,,48,,David Guetta,160766.0,2021-06-18 00:00:00,70.0,Only Honest On The Weekend (Deluxe),Becky Hill,Remember,4laAKIq9ZxBCwf99rauPYb
Go ThereTrousdale,,,,48,,202316.0,2023-09-15 00:00:00,35.0,Out Of My Mind,Trousdale,Go There,5KeIVGRr2dEmUJDuwEzQB8
Don't Forget MeMaggie Rogers,47,,,4,,265360.0,2024-02-08 00:00:00,57.0,Don't Forget Me,Maggie Rogers,Don't Forget Me,5tlXwZ4m7dbRZyG4natJZ1
Let's Twist AgainChubby Checker,,47,,,,137360.0,1961-01-01 00:00:00,67.0,It's Pony Time/Let's Twist Again,Chubby Checker,Let's Twist Again,1INWPr855fwWdAOeecbu0W
Five More MinutesThe War And Treaty,,,47,6,,223880.0,2020-07-16 00:00:00,37.0,Hearts Town,The War And Treaty,Five More Minutes,5I9K1oVuO22OehDQZnxdr2
Modern GirlBleachers,,,,47,,223100.0,2023-09-20 00:00:00,56.0,Bleachers,Bleachers,Modern Girl,45bMR5YEj1fsOVkcHbVW6s
Bad LuckZach Top,46,,,,,199247.0,2022-10-28 00:00:00,75.0,Cold Beer & Country Music,Zach Top,Bad Luck,1OYHXCuHdzHjpHqHlY1g1r
On pourraitSARA'H,,46,,,,195982.0,2021-10-22 00:00:00,36.0,,SARA'H,On pourrait,0Mr9OCnxOxbnFpmmCa85x2
If It Wasn't For The NightsABBA,,,46,,,309320.0,1979-01-01 00:00:00,56.0,Voulez-Vous,ABBA,If It Wasn't For The Nights,3R47KOuGuGvmoeQqbODPa3
Off The HighwayGabby Barrett,45,,,,,178800.0,2024-02-02 00:00:00,25.0,Chapter & Verse,Gabby Barrett,Off The Highway,3COk8dMEndoyUTFdCxHHN8
123 (Version Française)Craig Smart,,45,,,,186038.0,2012-11-13 00:00:00,17.0,,Craig Smart,123 (Version Française),2ap0aBgxnBfS2GZARlx1z7
One Of Your GirlsTroye Sivan,,,45,,,181481.0,2023-10-13 00:00:00,74.0,Something To Give Each Other,Troye Sivan,One Of Your Girls,5Eh1nj7IjV9lwpcKAkidyY
But Daddy I Love HimTaylor Swift,,,,45,,340428.0,2024-04-18 00:00:00,71.0,THE TORTURED POETS DEPARTMENT,Taylor Swift,But Daddy I Love Him,4QMgEffJQuKtjCNvqfRZ0m
IllusionDua Lipa,44,,,,,188143.0,2024-04-11 00:00:00,75.0,Radical Optimism,Dua Lipa,Illusion,5q0EXnBYyeCdXD72FzJxH0
EmmaVianney,,44,,,,209503.0,2021-11-19 00:00:00,33.0,N'attendons pas (Deluxe),Vianney,Emma,6iCW2e9BR83fJLit5BFchl
"Good Luck, Babe!Chappell Roan",6,,44,32,,218423.0,2024-04-05 00:00:00,93.0,,Chappell Roan,"Good Luck, Babe!",0WbMK4wrZ1wFSty9F7FCgu
Workin' on Lovin'Juice,,,,44,,234026.0,2018-06-14 00:00:00,45.0,,Juice,Workin' on Lovin',6bPF8VDAb12I4TG7IZjVeX
The PainterCody Johnson,43,,,,,211413.0,2023-08-11 00:00:00,74.0,Leather,Cody Johnson,The Painter,5DQU4Fmdx7Hs7pwtcZMSTK
Tired of Being AloneAl Green,,,43,,,172320.0,1971-08-14 00:00:00,69.0,Gets Next to You,Al Green,Tired of Being Alone,10vkYRKw6Jjr7try1ir50G
DrunkMaggie Rogers,,,,43,,204800.0,2024-04-12 00:00:00,48.0,Don't Forget Me,Maggie Rogers,Drunk,353l8u2CCNBek7Nd3Q3Txa
Rien qu'une foisKeen' V,,42,,,,195897.0,2016-06-17 00:00:00,39.0,Là où le vent me mène (Summer Edition),Keen' V,Rien qu'une fois,0fsjGGhENGu1notSXZYU7m
Fortnight (feat. Post Malone)Taylor Swift,,,42,,Post Malone,228965.0,2024-04-18 00:00:00,83.0,THE TORTURED POETS DEPARTMENT,Taylor Swift,Fortnight (feat. Post Malone),2OzhQlSqBEmt7hmkYxfT6m
"I Love You, I'm SorryGracie Abrams",,,,42,,157146.0,2024-06-20 00:00:00,88.0,The Secret of Us,Gracie Abrams,"I Love You, I'm Sorry",51rfRCiUSvxXlCSCfIztBy
Where It EndsBailey Zimmerman,41,,,,,179294.0,2022-08-19 00:00:00,75.0,Religiously. The Album.,Bailey Zimmerman,Where It Ends,0wXThIDxO3YRJCpPgnmbkw
Making Love to the 2024 Vancouver CanucksIvan Hrvatska,,41,,,,133166.0,2024-05-05 00:00:00,1.0,,Ivan Hrvatska,Making Love to the 2024 Vancouver Canucks,2at8MSHDZp9QTDo2mdHP4d
If You Wanna Be HappyJimmy Soul,,,41,,,143000.0,2012-01-10 00:00:00,49.0,"Frank Guida Presents: Jimmy Soul ""If You Wanna Be Happy""",Jimmy Soul,If You Wanna Be Happy,7D97JnBT73FWUh9KmRvP9M
strangerOlivia Rodrigo,,,,41,,192771.0,2024-03-22 00:00:00,72.0,GUTS (spilled),Olivia Rodrigo,stranger,2U3jOPfO4wZZFaaWS4Dcj6
Sweet SerendipityLee DeWyze,40,,,,,198280.0,2003-01-01 00:00:00,38.0,10th Anniversary - The Hits - Volume 1,Lee DeWyze,Sweet Serendipity,6206Kvrl6LTMvDomHgEDMH
Let's GoKey Glock,,40,,,,140106.0,2023-06-23 00:00:00,73.0,Glockoma 2 (Deluxe),Key Glock,Let's Go,5GCU2LJWPzoP8Q6nexs61z
Too SweetHozier,12,,40,,,251424.0,2024-03-22 00:00:00,78.0,Unreal Unearth: Unaired,Hozier,Too Sweet,76JKIsdKrAfWUMjaA0u7v5
Wouldn't Come BackTrousdale,,,,40,,219533.0,2021-01-15 00:00:00,54.0,,Trousdale,Wouldn't Come Back,1zeQjPT367QcGrkpIXYjuW
Nosedive (Feat. Lainey Wilson)Post Malone,39,,,,Lainey Wilson,192459.0,2024-08-15 00:00:00,68.0,F-1 Trillion,Post Malone,Nosedive (Feat. Lainey Wilson),25uMKq5kygC2woAfeetEfE
We Bring The BOOM!A.J. & Big Justice,,39,,,,120192.0,2024-07-03 00:00:00,47.0,,A.J. & Big Justice,We Bring The BOOM!,1c5saluqPZlN0v9clGKTcw
get him back!Olivia Rodrigo,,,39,24,,211141.0,2023-09-08 00:00:00,76.0,GUTS,Olivia Rodrigo,get him back!,2gyxAWHebV7xPYVxqoi86f
Who’s Afraid of Little Old Me?Taylor Swift,,,,39,,334084.0,2024-04-18 00:00:00,73.0,THE TORTURED POETS DEPARTMENT,Taylor Swift,Who’s Afraid of Little Old Me?,36t6frENUtCYKuZus6aYDO
Paladin StraitTwenty One Pilots,38,,,,,388586.0,2024-05-24 00:00:00,64.0,Clancy,Twenty One Pilots,Paladin Strait,5HvDKyJlHWg42BdsE4ycSm
Should've Been A CowboyToby Keith,,38,,,,211306.0,1993-04-20 00:00:00,72.0,Toby Keith,Toby Keith,Should've Been A Cowboy,4TJUS843fKiqqIzycM74Oy
Mr. NaturalBee Gees,,,38,,,228466.0,1974-01-01 00:00:00,28.0,Mr. Natural,Bee Gees,Mr. Natural,2C86Vf9K43LG8GWCHObAzP
Shower With My Clothes OnAshe,,,,38,,184479.0,2022-07-29 00:00:00,36.0,Rae,Ashe,Shower With My Clothes On,3GFC8G5pFOpTCnPR9KFAj5
SelfishJustin Timberlake,37,,,,,229331.0,2024-01-25 00:00:00,65.0,Everything I Thought It Was,Justin Timberlake,Selfish,0QosomGFiJYOxj2ViZfqng
My SacrificeCreed,,37,,,,294600.0,2001-01-01 00:00:00,75.0,Weathered,Creed,My Sacrifice,2VSbEXqs6NbNiZSTcHlIDR
She's A LadyTom Jones,,,37,,,174146.0,1971-05-01 00:00:00,66.0,Tom Jones Sings She's A Lady,Tom Jones,She's A Lady,5JnHzjo25FY1fMQMQVOawB
Dinner with FriendsKacey Musgraves,,,,37,,177733.0,2024-03-15 00:00:00,49.0,Deeper Well,Kacey Musgraves,Dinner with Friends,1wLN48gT4YmUWs4WMgnw2n
All the Time in the WorldStephen Day,36,,,,,163146.0,2019-10-11 00:00:00,43.0,Guess I'm Grown Now,Stephen Day,All the Time in the World,71fcNlXfJu1aWQmABFyZ2j
From AustinZach Bryan,,36,,,,207453.0,2022-02-25 00:00:00,71.0,American Heartbreak,Zach Bryan,From Austin,6k07Z7rd9og1FvRJD2n9E8
Up The Ladder To The RoofThe Supremes,,,36,,,191666.0,1970-04-26 00:00:00,37.0,Right On,The Supremes,Up The Ladder To The Roof,2sHahlW8ib7C7GkuV39tKR
Sweet HomeSYML,,,,36,,248533.0,2022-03-18 00:00:00,51.0,The Day My Father Died,SYML,Sweet Home,7IL4oYjqU58OrarBeQnn0x
Dancing With Your ShadowsPhillip Phillips,35,,,,,177569.0,2023-02-10 00:00:00,47.0,Drift Back,Phillip Phillips,Dancing With Your Shadows,2HfbUxCrf9SWnQy3vndaC6
I Had Some Help (Feat. Morgan Wallen)Post Malone,3,35,,,Morgan Wallen,178205.0,2024-05-10 00:00:00,83.0,F-1 Trillion,Post Malone,I Had Some Help (Feat. Morgan Wallen),5IZXB5IKAD2qlvTPJYDCFB
Everyday PeopleSly & The Family Stone,,,35,,,141506.0,1969-05-03 00:00:00,63.0,Stand,Sly & The Family Stone,Everyday People,4ZVZBc5xvMyV3WzWktn8i7
Guilty as Sin?Taylor Swift,,,,35,,254365.0,2024-04-18 00:00:00,75.0,THE TORTURED POETS DEPARTMENT,Taylor Swift,Guilty as Sin?,799KrpEbhZp0MHeiA8YK9P
Spin You Around (1/24)Morgan Wallen,34,,,,,209427.0,2024-01-26 00:00:00,75.0,,Morgan Wallen,Spin You Around (1/24),47Xj8eIAp7hYOOqArmkqZE
A Bar Song (Tipsy)Shaboozey,32,34,,,,171291.0,2024-04-12 00:00:00,85.0,"Where I've Been, Isn't Where I'm Going",Shaboozey,A Bar Song (Tipsy),2FQrifJ1N335Ljm3TjTVVf
More Than A WomanBee Gees,,,34,,,197213.0,1977-11-15 00:00:00,75.0,,Bee Gees,More Than A Woman,49OMJ1prsRA7ZYgrAjz70c
23Lawrence,,,,34,,189266.0,2023-10-20 00:00:00,39.0,Family Business,Lawrence,23,4APGetG5oDxfKFAb7MRu1B
What Don't Belong To MePost Malone,33,,,,,207176.0,2024-08-15 00:00:00,68.0,F-1 Trillion,Post Malone,What Don't Belong To Me,0lJNSfWnwJMIh94Dv9jQUt
A.M. RADIOThe Lumineers,,33,,,,237320.0,2022-01-14 00:00:00,56.0,BRIGHTSIDE,The Lumineers,A.M. RADIO,32mcz82FOIucA49qkynFVB
SwayKacey Musgraves,,,,33,,191413.0,2024-03-15 00:00:00,51.0,Deeper Well,Kacey Musgraves,Sway,6f2unaaUhIqTkbHsWMbGcm
Dawns (feat. Maggie Rogers)Zach Bryan,,32,,,Maggie Rogers,290892.0,2023-01-27 00:00:00,75.0,,Zach Bryan,Dawns (feat. Maggie Rogers),42TtHTxWk782ZBiqyOi2d1
GorgeousTaylor Swift,,,32,,,209680.0,2017-11-10 00:00:00,74.0,reputation,Taylor Swift,Gorgeous,1ZY1PqizIl78geGM4xWlEA
Miles On ItMarshmello,31,,,,Kane Brown,168355.0,2024-05-03 00:00:00,80.0,The High Road,Marshmello,Miles On It,4pkb8SbRGeHAvdb87v9rpf
HigherCreed,,31,,,,316733.0,1999-01-01 00:00:00,78.0,Human Clay,Creed,Higher,1ZozJfi8u9cO2Ob8KwiwNT
4EVERClairo,,,31,,,159595.0,2018-04-27 00:00:00,74.0,,Clairo,4EVER,5mIOsPuQdXchVY0jB5NO9Q
Can't Get Your Love BackTrousdale,,,,31,,210130.0,2023-07-21 00:00:00,29.0,Out Of My Mind,Trousdale,Can't Get Your Love Back,0B1DzuAnGyav6VsGRYDrjM
Beautiful ThingsBenson Boone,30,,,,,180304.0,2024-01-18 00:00:00,89.0,Fireworks & Rollerblades,Benson Boone,Beautiful Things,3xkHsmpQCBMytMJNiDf3Ii
Up The JunctionSqueeze,,30,,,,191320.0,1979-01-01 00:00:00,54.0,Cool For Cats,Squeeze,Up The Junction,1zU0kAJdEPyRs4x5gkQQER
It's Too LateCarole King,,,30,,,233173.0,1971-01-01 00:00:00,71.0,Tapestry,Carole King,It's Too Late,12q3V8ShACq2PSWINMc2rC
When I'm OlderAshe,,,,30,,170241.0,2021-04-21 00:00:00,35.0,Ashlyn,Ashe,When I'm Older,09Qrzf6qOsYDL1yz9tFUS0
Oldies StationTwenty One Pilots,29,,,,,228000.0,2024-05-24 00:00:00,64.0,Clancy,Twenty One Pilots,Oldies Station,7dI0mSvbdJTynUnEkWIom1
Ambition For CashKey Glock,,29,,,,143480.0,2021-09-30 00:00:00,71.0,Yellow Tape 2,Key Glock,Ambition For Cash,4mIHgQ3ofK2RK34UdbqMbe
BrazilDeclan McKenna,,,29,,,252306.0,2015-12-04 00:00:00,80.0,What Do You Think About the Car?,Declan McKenna,Brazil,4sNG6zQBmtq7M8aeeKJRMQ
You’re Gonna Go FarNoah Kahan,,,,29,,286369.0,2023-06-09 00:00:00,81.0,Stick Season (We'll All Be Here Forever),Noah Kahan,You’re Gonna Go Far,4nHJcUtNSUVjXRnjdP29Bk
Dancin' In The Moonlight (feat. Lauren Alaina)Chris Lane,28,,,,Lauren Alaina,199000.0,2022-05-20 00:00:00,53.0,,Chris Lane,Dancin' In The Moonlight (feat. Lauren Alaina),1L0O1FRgee0LRZCtA1O6uA
Never Been OverDarius Rucker,,28,,,Jennifer Nettles,205466.0,2024-04-26 00:00:00,38.0,,Darius Rucker,Never Been Over,5CfsbLLaJ6GGzEuRjYFRhT
Cruel SummerTaylor Swift,,,28,,,178426.0,2019-08-23 00:00:00,88.0,Lover,Taylor Swift,Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr
FeatherSabrina Carpenter,,,,28,,185552.0,2023-03-17 00:00:00,84.0,emails i can’t send fwd:,Sabrina Carpenter,Feather,2Zo1PcszsT9WQ0ANntJbID
Hell of a YearParker McCollum,27,,,,,232653.0,2017-11-10 00:00:00,68.0,Probably Wrong,Parker McCollum,Hell of a Year,2kvlpIO6c9yvKAzk2KF0IS
HOT TO GO!Chappell Roan,,27,,,,184841.0,2023-08-11 00:00:00,82.0,The Rise and Fall of a Midwest Princess,Chappell Roan,HOT TO GO!,4xdBrk0nFZaP54vvZj0yx7
These WallsDua Lipa,,,27,,,217783.0,2024-05-03 00:00:00,72.0,Radical Optimism,Dua Lipa,These Walls,7b6sWLSnbZhSIeqNGrJ4py
HeavenNiall Horan,,,,27,,186043.0,2023-03-10 00:00:00,71.0,The Show,Niall Horan,Heaven,5FQ77Cl1ndljtwwImdtjMy
Remember Him That WayLuke Combs,26,,,,,236055.0,2024-06-14 00:00:00,65.0,Fathers & Sons,Luke Combs,Remember Him That Way,1YvT4ml5LQM8ZYcLvqsAkD
StargazingMyles Smith,,26,,,,172533.0,2024-05-10 00:00:00,86.0,,Myles Smith,Stargazing,3Vr3zh0r7ALn8VLqCiRR10
OmenDisclosure,,,26,,Sam Smith,230250.0,2015-09-25 00:00:00,58.0,Caracal (Deluxe),Disclosure,Omen,4kuPeLqTPXDkPB2injreCw
Overcompensate (edit)Twenty One Pilots,25,,,,,190733.0,2024-02-29 00:00:00,50.0,,Twenty One Pilots,Overcompensate (edit),7kcApwUclbIw9B6MuVmqPc
AnyoneJustin Bieber,,25,,,,190779.0,2021-01-01 00:00:00,70.0,Justice,Justin Bieber,Anyone,2WnAKZefdRHxtBEkRjFOHC
MelissaAllman Brothers Band,,,25,,,235223.0,1972-02-12 00:00:00,61.0,Eat A Peach,Allman Brothers Band,Melissa,30St98Bok3jJmXdkkHVPQe
Lavender GirlCaamp,,,,25,,203546.0,2022-05-20 00:00:00,65.0,Lavender Days,Caamp,Lavender Girl,1oWnDC5OoMPPosVY2cdXgT
Slow It DownBenson Boone,24,,,,,161831.0,2024-03-21 00:00:00,86.0,Fireworks & Rollerblades,Benson Boone,Slow It Down,51eSHglvG1RJXtL3qI5trr
The Lion Sleeps Tonight (Wimoweh)The Tokens,,24,,,,162093.0,1994-07-29 00:00:00,60.0,The Lion Sleeps Tonight,The Tokens,The Lion Sleeps Tonight (Wimoweh),2F4FNcz68howQWD4zaGJSi
I Know Places (Taylor's Version)Taylor Swift,,,24,,,195700.0,2023-10-26 00:00:00,63.0,1989 (Taylor's Version),Taylor Swift,I Know Places (Taylor's Version),2f0GI2ZLUtbGqFx8t2Gk6A
Lies Lies LiesMorgan Wallen,23,,,,,198068.0,2024-07-05 00:00:00,80.0,,Morgan Wallen,Lies Lies Lies,7Fzl7QaTu47WyP9R5S5mh5
FavouriteFontaines D.C.,,23,,,,256066.0,2024-06-18 00:00:00,69.0,Romance,Fontaines D.C.,Favourite,27w0RH5IDt6xU3B2j7QOuy
She Moves In Her Own WayThe Kooks,,,23,,,169306.0,2006-01-01 00:00:00,56.0,Inside In / Inside Out,The Kooks,She Moves In Her Own Way,2SGBEDwsOAOAHrrdAd304i
